nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	\N	\N	soundtrack,actor,miscellaneous	tt0053137,tt0050419,tt0072308,tt0043044
nm0000002	Lauren Bacall	\N	\N	actress,soundtrack	tt0038355,tt0037382,tt0117057,tt0071877
nm0000003	Brigitte Bardot	\N	\N	actress,soundtrack,music_department	tt0054452,tt0059956,tt0049189,tt0057345
nm0000004	John Belushi	\N	\N	actor,soundtrack,writer	tt0080455,tt0077975,tt0078723,tt0072562
nm0000005	Ingmar Bergman	\N	\N	writer,director,actor	tt0060827,tt0083922,tt0050986,tt0050976
nm0000006	Ingrid Bergman	\N	\N	actress,soundtrack,producer	tt0038787,tt0034583,tt0038109,tt0036855
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0043265,tt0034583,tt0033870,tt0040897
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0078788,tt0068646,tt0047296,tt0070849
nm0000009	Richard Burton	\N	\N	actor,soundtrack,producer	tt0057877,tt0059749,tt0061184,tt0087803
nm0000010	James Cagney	\N	\N	actor,soundtrack,director	tt0029870,tt0042041,tt0031867,tt0035575
nm0000011	Gary Cooper	\N	\N	actor,soundtrack,producer	tt0035896,tt0034167,tt0027996,tt0044706
nm0000012	Bette Davis	\N	\N	actress,soundtrack,make_up_department	tt0035140,tt0056687,tt0031210,tt0042192
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0055100,tt0053172,tt0048317,tt0060463
nm0000014	Olivia de Havilland	1916	\N	actress,soundtrack	tt0040806,tt0029843,tt0031381,tt0041452
nm0000015	James Dean	\N	\N	actor,miscellaneous	tt0049261,tt0048545,tt0048028,tt0043228
nm0000016	Georges Delerue	\N	\N	composer,soundtrack,music_department	tt0057345,tt0096320,tt0091763,tt0069946
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0052311,tt0051201,tt0021156,tt0055031
nm0000018	Kirk Douglas	\N	\N	actor,producer,soundtrack	tt0046672,tt0049456,tt0054331,tt0043338
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0071129,tt0047528,tt0053779,tt0050783
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0050083,tt0064116,tt0082846
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0040536,tt0039504,tt0032976,tt0034248
nm0000022	Clark Gable	\N	\N	actor,soundtrack,producer	tt0025316,tt0031381,tt0026752,tt0023382
nm0000023	Judy Garland	\N	\N	soundtrack,actress	tt0032138,tt0047522,tt0055031,tt0037059
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0117631,tt0071877,tt0082031,tt0045943
nm0000025	Jerry Goldsmith	\N	\N	music_department,soundtrack,composer	tt0117731,tt0119488,tt0100802,tt0112715
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0032599,tt0056923,tt0053125,tt0048728
nm0000027	Alec Guinness	\N	\N	actor,soundtrack,writer	tt0076759,tt0050212,tt0041546,tt0051739
nm0000028	Rita Hayworth	\N	\N	actress,soundtrack,producer	tt0036723,tt0038559,tt0040552,tt0040525
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0077800,tt0102122,tt0110138,tt0074802
nm0000030	Audrey Hepburn	\N	\N	actress,soundtrack	tt0046250,tt0058385,tt0056923,tt0054698
nm0000031	Katharine Hepburn	\N	\N	actress,soundtrack,writer	tt0082846,tt0043265,tt0032904,tt0063227
nm0000032	Charlton Heston	\N	\N	actor,director,writer	tt0070723,tt0052618,tt0063442,tt0049833
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0053125,tt0054215,tt0052357,tt0040746
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0043014,tt0074958,tt0046359,tt0072308
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0499549,tt0120338,tt0120647,tt0120746
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015324,tt0017925,tt0016332,tt0019421
nm0000037	Gene Kelly	\N	\N	soundtrack,actor,director	tt0045152,tt0043278,tt0041716,tt0053946
nm0000038	Grace Kelly	\N	\N	actress,soundtrack	tt0046912,tt0048728,tt0044706,tt0047396
nm0000039	Deborah Kerr	\N	\N	actress,soundtrack	tt0049408,tt0039192,tt0050105,tt0045793
nm0000040	Stanley Kubrick	\N	\N	director,writer,producer	tt0120663,tt0072684,tt0062622,tt0066921
nm0000041	Akira Kurosawa	\N	\N	writer,director,assistant_director	tt0051808,tt0089881,tt0057565,tt0080979
nm0000042	Alan Ladd	\N	\N	actor,producer,camera_department	tt0046303,tt0035432,tt0042279,tt0038369
nm0000043	Veronica Lake	\N	\N	actress,soundtrack,producer	tt0034798,tt0038369,tt0034881,tt0034240
nm0000044	Burt Lancaster	\N	\N	actor,producer,miscellaneous	tt0050468,tt0045793,tt0051036,tt0080388
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0077594,tt0068935,tt0068767,tt0070034
nm0000046	Vivien Leigh	\N	\N	actress,soundtrack,writer	tt0031381,tt0033238,tt0044081,tt0034272
nm0000047	Sophia Loren	\N	\N	actress,soundtrack	tt0058335,tt0076085,tt0060121,tt0054749
nm0000048	Peter Lorre	\N	\N	actor,soundtrack,writer	tt0022100,tt0033870,tt0036613,tt0034583
nm0000049	Henry Mancini	\N	\N	music_department,soundtrack,composer	tt0057413,tt0056923,tt0054698,tt0085101
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0022158,tt0026778,tt0028772,tt0023969
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0046672,tt0053125,tt0047522,tt0056193
nm0000052	Marcello Mastroianni	\N	\N	actor,soundtrack,producer	tt0053779,tt0076085,tt0056801,tt0110907
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0039689,tt0048424,tt0055824,tt0056197
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0045810,tt0049038,tt0048605,tt0053291
nm0000055	Alfred Newman	1901	1970	music_department,composer,soundtrack	tt0065377,tt0042192,tt0434409,tt0056085
nm0000056	Paul Newman	\N	\N	actor,producer,director	tt0054997,tt0061512,tt0084855,tt0257044
nm0000057	David Niven	\N	\N	actor,producer,soundtrack	tt0061452,tt0074937,tt0052182,tt0057413
nm0000058	Maureen O'Hara	\N	\N	actress,soundtrack	tt0055277,tt0045061,tt0041149,tt0039628
nm0000059	Laurence Olivier	\N	\N	actor,producer,director	tt0040416,tt0054331,tt0069281,tt0032976
nm0000060	Gregory Peck	\N	\N	actor,producer,soundtrack	tt0056592,tt0041996,tt0046250,tt0039416
nm0000061	Tyrone Power	\N	\N	actor,soundtrack,producer	tt0041767,tt0032762,tt0043959,tt0051201
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0056023,tt0053848,tt0054692,tt0056585
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0057831,tt0049456,tt0074896,tt0056172
nm0000064	Edward G. Robinson	\N	\N	actor,soundtrack,writer	tt0049833,tt0036775,tt0040506,tt0070723
nm0000065	Nino Rota	\N	\N	composer,soundtrack,music_department	tt0056801,tt0071562,tt0068646,tt0063518
nm0000066	Jane Russell	\N	\N	actress,soundtrack,producer	tt0043476,tt0045810,tt0043643,tt0036241
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0052618,tt0036775,tt0037884,tt0038109
nm0000068	Randolph Scott	\N	\N	actor,producer,soundtrack	tt0056412,tt0051047,tt0026942,tt0049743
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0050815,tt0056218,tt0045793,tt0052218
nm0000070	Max Steiner	\N	\N	music_department,composer,soundtrack	tt0031381,tt0036613,tt0034583,tt0040897
nm0000071	James Stewart	\N	\N	actor,soundtrack,director	tt0031679,tt0032904,tt0052561,tt0052357
nm0000072	Elizabeth Taylor	\N	\N	actress,soundtrack,producer	tt0061184,tt0056937,tt0053318,tt0051459
nm0000073	Shirley Temple	\N	\N	actress,soundtrack,writer	tt0032264,tt0016029,tt0027421,tt0040369
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0037008,tt0037865,tt0038492,tt0039420
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0055031,tt0053946,tt0061735,tt0047849
nm0000076	François Truffaut	\N	\N	writer,director,producer	tt0053198,tt0055032,tt0070460,tt0075860
nm0000077	Franz Waxman	\N	\N	music_department,composer,soundtrack	tt0026138,tt0032976,tt0034248,tt0043014
nm0000078	John Wayne	\N	\N	actor,producer,soundtrack	tt0031971,tt0056217,tt0053580,tt0065126
nm0000079	Raquel Welch	\N	\N	actress,soundtrack,producer	tt0070291,tt0061653,tt0068795,tt0072281
nm0000080	Orson Welles	\N	\N	actor,director,writer	tt0052311,tt0033467,tt0040525,tt0057427
nm0000081	Natalie Wood	\N	\N	actress,soundtrack,music_department	tt0055614,tt0057263,tt0048545,tt0055471
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0048960,tt0045061,tt3315342,tt0119094
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt0424773,tt0320978,tt0969216,tt5969604
nm0000084	Li Gong	1965	\N	actress	tt0473444,tt0430357,tt0397535,tt0101640
nm0000085	Henner Hofmann	\N	\N	cinematographer,producer,camera_department	tt0097738,tt0113482,tt1825758,tt0097523
nm0000086	Louis de Funès	\N	\N	actor,writer,soundtrack	tt0058135,tt0069747,tt0079200,tt0074103
nm0000087	Elena Koreneva	\N	\N	actress,casting_director,soundtrack	tt0122969,tt0123138,tt7529350,tt5847740
nm0000088	Aleksey Korenev	\N	\N	director,writer,assistant_director	tt0068304,tt0100069,tt0063752,tt0191104
nm0000089	Richard Paul	\N	\N	actor,soundtrack	tt0093778,tt0117318,tt0088529,tt0075489
nm0000090	Armin Mueller-Stahl	\N	\N	actor,director,writer	tt0765443,tt0117631,tt0963178,tt0139809
nm0000091	Gérard Pirès	\N	\N	director,writer,actor	tt0421974,tt0064297,tt0152930,tt0282552
nm0000092	John Cleese	\N	\N	actor,writer,producer	tt0063929,tt0095159,tt0085959,tt0071853
nm0000093	Brad Pitt	\N	\N	actor,producer,soundtrack	tt2935510,tt0114746,tt0356910,tt1210166
nm0000094	J. Reifel	\N	\N	writer	tt0117915,tt0116030,tt0118631,tt0118886
nm0000095	Woody Allen	\N	\N	writer,director,actor	tt0075686,tt0079522,tt0097123,tt0118954
nm0000096	Gillian Anderson	\N	\N	actress,producer,soundtrack	tt0455590,tt2294189,tt0442632,tt0106179
nm0000097	Pamela Anderson	\N	\N	actress,producer,director	tt0306047,tt0115624,tt0267913,tt0426592
nm0000098	Jennifer Aniston	\N	\N	actress,producer,soundtrack	tt3442006,tt1723121,tt1564367,tt0108778
nm0000099	Patricia Arquette	1968	\N	actress,director,soundtrack	tt1065073,tt0108399,tt0412175,tt0145531
